year,total_headlines,top_five_words,tfidf_words
2003,63997,"plan, new, police, govt, say","sar, sars_case, medical_indemnity, amrozi, sorenstam"
2004,72674,"plan, new, police, govt, council","najaf, fallujah, aristide, arafat, zarqawi"
2005,73124,"plan, new, police, govt, council","telstra_sale, solon, vsu, wmc, korp"
2006,66901,"plan, new, govt, police, say","kovco, closer_new, cole_inquiry, alkatiri, closer_abcnew"
2007,77174,"police, new, plan, govt, say","haneef, horse_flu, nrl_interview, closer_new, auspine"
2008,79991,"new, police, govt, plan, say","nrl_interview, wyd, fuelwatch, obama, haneef"
2009,76444,"new, police, say, plan, govt","swine_flu, nrl_interview, swine_flu_case, et, ozcar"
2010,74931,"new, police, plan, council, say","session_summary, mining_tax, interview_ivan_henjak, geoff_hutchison_talk, delhi_game"
2011,77778,"new, police, plan, flood, say","abc_entertainment, kohler_report, abc_sport, libyan_rebel, abc_weather"
2012,89008,"new, say, plan, police, win","abc_entertainment, abc_weather, abc_sport, abc_business_news_market, steven_schubert_speak"
2013,91928,"new, say, plan, police, australia","nrn, speaks_pacific_beat, csg, abc_sport, abc_weather"
2014,81531,"new, say, australia, win, police","nrn, nrl_live_streaming_update, promise_check, national_rural_new, afl_live_streaming_update"
2015,77290,"say, new, australia, police, australian","nrl_live_streaming_update, islamic_state, national_rural_new, cyclone_marcia, paris_attack"
2016,61574,"say, new, australia, police, australian","brexit, donald_trump, rio_olympic, national_rural_new, backpacker_tax"
2017,47511,"say, australia, new, australian, trump","donald_trump, cyclone_debbie, big_country, afl_scorecentre, speaks_busines"
2018,40102,"say, australia, australian, new, police","donald_trump, banking_royal_commission, chart_day, brexit, speaks_busines"
2019,34060,"australia, australian, say, new, police","stories_abc_new, donald_trump, brexit, scott_morrison, planet_america_extra"
